training files: data/train.en , data/train.es
testing  files: data/dev.en , data/dev.es
#{'output_probs': 'probs', 'source_corpus': 'source_full.tmp', 'intermediate_log': '0', 'algorithm': 'LBFGS', 'source_test': 'data/dev.en', 'input_weights': 'initial.trans.log', 'target_test': 'data/dev.es', 'test_gradient': 'false', 'output_weights': 'theta', 'regularization_coeff': '0.0', 'target_corpus': 'target_full.tmp', 'output_alignments': 'alignments', 'model': 'model1'}

skipping gradient check...
reading initial weights...
#{'output_probs': 'probs', 'source_corpus': 'source_full.tmp', 'intermediate_log': '0', 'algorithm': 'EM', 'source_test': 'data/dev.en', 'input_weights': 'initial.trans.log', 'target_test': 'data/dev.es', 'test_gradient': 'false', 'output_weights': 'theta', 'regularization_coeff': '0.0', 'target_corpus': 'target_full.tmp', 'output_alignments': 'alignments', 'model': 'model1'}

skipping gradient check...
reading initial weights...
0 log likelihood: -132104.346298
	ec: -105651.16983
	ec: -105651.16983
	ec: -105580.222675
	ec: -105299.443198
	ec: -104233.056068
	ec: -114958.723326
	ec: -100570.767666
	ec: -99747.5115499
	ec: -98477.9668065
	ec: -98144.8968431
	ec: -97552.7098943
	ec: -97603.8362189
	ec: -97327.2131481
	ec: -97173.8894697
	ec: -97046.5160164
	ec: -96971.3235349
	ec: -96860.5711534
	ec: -96821.5201742
	ec: -96763.9423961
	ec: -96673.8044181
	ec: -96652.1283536
	ec: -96594.7342273
	ec: -96572.8439194
	ec: -96550.7019658
	ec: -96510.9994372
	ec: -96499.324864
	ec: -96478.117353
	ec: -96466.0582516
1 log likelihood: -112936.97772
	ec: -94478.0201852
	ec: -94204.4085337
	ec: -93286.3105399
	ec: -92819.2876253
	ec: -92360.4421149
	ec: -92087.2193467
	ec: -91565.6738355
	ec: -91260.015572
	ec: -91025.5703537
	ec: -90815.3012016
	ec: -90610.7923143
	ec: -90252.9723648
	ec: -90222.1816921
	ec: -89832.5126052
	ec: -89727.0344683
	ec: -89628.2771125
	ec: -89481.6181157
	ec: -89399.5026998
	ec: -89344.0430002
	ec: -89210.5370497
	ec: -89336.0122867
	ec: -89170.306271
	ec: -89104.7071796
	ec: -89034.6433775
2 log likelihood: -103860.089883
	ec: -78435.6510025
	ec: -78253.8048313
	ec: -77945.5557283
	ec: -77751.9430007
	ec: -77472.5550107
	ec: -77272.2506374
	ec: -77125.4260138
	ec: -77024.9430908
	ec: -76948.4934651
	ec: -76847.6052023
	ec: -76728.2897401
	ec: -76628.538354
	ec: -76538.8779665
	ec: -76426.1324126
	ec: -76300.4708849
	ec: -76185.6967071
	ec: -76094.6564002
	ec: -76040.9082015
	ec: -75952.5612536
	ec: -75918.5743446
	ec: -75844.206783
	ec: -75808.4825642
	ec: -75764.9311988
3 log likelihood: -99403.3078183
	ec: -66826.2559383
	ec: -66702.5517889
	ec: -66618.2112266
	ec: -66537.3882344
	ec: -66444.1358389
	ec: -66370.0957605
	ec: -66317.2277817
	ec: -66274.3699697
	ec: -66227.3710423
	ec: -66182.1915195
	ec: -66133.4623224
	ec: -66072.1934733
	ec: -65996.8293286
	ec: -65927.7501519
	ec: -65873.8153384
	ec: -65805.1218381
	ec: -65783.9094491
	ec: -65733.1667839
	ec: -65677.4255108
	ec: -65644.2222016
	ec: -65570.3706038
	ec: -65557.0053461
	ec: -65493.2989902
4 log likelihood: -97176.6613104
	ec: -59137.6207662
	ec: -59060.4351295
	ec: -59029.1216016
	ec: -58994.2336921
	ec: -58962.3530321
	ec: -58928.5935398
	ec: -58905.5182304
	ec: -58877.9674508
	ec: -58865.2740403
	ec: -58841.058706
	ec: -58822.1271816
	ec: -58808.1418365
	ec: -58770.5117134
	ec: -58752.0637463
	ec: -58686.5417456
	ec: -58654.6877376
	ec: -58612.3496364
	ec: -58574.9126397
	ec: -58527.1559905
	ec: -58499.0679243
	ec: -58470.0789303
	ec: -58448.2611411
	ec: -58412.1910462
5 log likelihood: -95933.490405
	ec: -53833.1810899
	ec: -53795.1307837
	ec: -53774.8295317
	ec: -53764.1853841
	ec: -53751.219658
	ec: -53734.3179974
	ec: -53720.9117419
	ec: -53710.1465922
	ec: -53696.6774379
	ec: -53686.0210056
	ec: -53678.9659275
	ec: -53662.9607766
	ec: -53657.4082061
	ec: -53645.1260741
	ec: -53622.8873968
	ec: -53579.6555334
	ec: -53579.9502496
	ec: -53550.4145935
	ec: -53513.6264823
	ec: -53483.8749629
	ec: -53477.0774118
	ec: -53460.485839
	ec: -53444.8831914
	ec: -53429.924741
6 log likelihood: -95243.8299996
	ec: -50354.2607693
	ec: -50342.7229062
	ec: -50321.3627062
	ec: -50317.1713471
7 log likelihood: -95186.8603557
	ec: -49841.4170607
	ec: -49841.2082569
	ec: -49825.3484306
	ec: -49818.0463042
	ec: -49810.5454681
	ec: -49803.3235052
	ec: -49794.2925387
	ec: -49787.8492468
	ec: -49781.2671812
	ec: -49774.6466147
	ec: -49763.7896542
	ec: -49750.4178761
	ec: -49735.3179859
	ec: -49718.2484517
	ec: -49690.1556806
	ec: -49677.3583641
	ec: -49647.1319094
	ec: -49632.072851
	ec: -49617.7986873
	ec: -49605.4261936
	ec: -49593.6295762
	ec: -49576.1821355
	ec: -49570.6361598
	ec: -49560.6877989
8 log likelihood: -94695.4781498
	ec: -47083.3043204
	ec: -47095.2983978
	ec: -47071.444668
	ec: -47066.6903064
	ec: -47061.4760956
	ec: -47056.4568419
	ec: -47050.2145426
	ec: -47045.7301982
9 log likelihood: -94628.7039135
	ec: -46432.2793092
	ec: -46451.9130393
	ec: -46425.1935613
	ec: -46422.466642
10 log likelihood: -94612.3167645
	ec: -46185.502186
	ec: -46201.9764189
	ec: -46179.9411171
	ec: -46177.1940045
11 log likelihood: -94598.7426489
	ec: -45958.4076361
	ec: -45975.4708064
	ec: -45953.9873474
12 log likelihood: -94590.495597
	ec: -45791.2906293
	ec: -45807.0203042
	ec: -45787.2877022
13 log likelihood: -94582.9998906
	ec: -45646.3700618
	ec: -45659.5760102
	ec: -45642.6865308
14 log likelihood: -94576.1541431
	ec: -45497.3769714
	ec: -45512.6318424
	ec: -45494.1107425
15 log likelihood: -94570.4575867
	ec: -45382.1194913
	ec: -45411.7760626
	ec: -45379.8068034
16 log likelihood: -94566.7818302
	ec: -45298.6554149
	ec: -45325.6641883
	ec: -45296.3209298
17 log likelihood: -94563.1238578
